Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Sensor name,Datamodel,Mapping,Template
r_53_no3volt,Nitrate Voltage (NUTRISENS),Nitrate Voltage,r,float,mV,N/A,N/A,No,NUTRISENS,,,Yes
r_53_kvolt,Potassium Voltage (NUTRISENS),Potassium Voltage,r,float,mV,N/A,N/A,No,NUTRISENS,,,Yes
r_55_act8_pos,Position (RELAY),Position ON / OFF,r,uint8_t,dimensionless,N/A,N/A,No,ACTUATOR_8_RELAY,,,Yes
r_56_rad,Solar Radiation (NETSENS),Solar Radiation,r,float,W/m2,0,2000,No,NETSENS_PS0085FF,,,No
r_57_id,ID (GRATMA),ID,r,uint16_t,dimensionless,N/A,N/A,No,GRATMA,,,No
r_57_lm,Last Measure (GRATMA),Last Measure,r,float,%,N/A,N/A,No,GRATMA,,,No
r_58_id,ID (MPPT),ID,r,uint16_t,dimensionless,N/A,N/A,No,MPPT,,,No
r_58_fw,Firmware Version (MPPT),Firmware Version of the MPPT,r,uint16_t,dimensionless,N/A,N/A,No,MPPT,,,No
r_58_ser,Serial Number (MPPT),Serial Number,r,string,dimensionless,N/A,N/A,No,MPPT,,,No
r_58_bv,Battery Voltage (MPPT),Voltage Level of the battery connected to MPPT,r,uint16_t,mV,0,100,No,MPPT,,,No
r_58_bi,Battery Current (MPPT),Current consumption of the battery connected to MPPT,r,int16_t,mA,N/A,N/A,No,MPPT,,,No
r_58_sv,Solar Voltage (MPPT),Voltage Level of the Solar Panel connected to MPPT,r,uint16_t,mV,N/A,N/A,No,MPPT,,,No
r_58_sp,Solar Power (MPPT),Power generated by the Solar Panel connected to MPPT,r,uint16_t,W,N/A,N/A,No,MPPT,,,No
r_58_cs,Charger State (MPPT),"State of operation of the MPPT (0: OFF, 2: Fault, 3: Bulk, 4: Absorption, 5: Float)",r,uint8_t,dimensionless,N/A,N/A,No,MPPT,,,No
r_58_mode,Working Mode (MPPT),Working Mode of the MPPT,r,uint8_t,dimensionless,N/A,N/A,No,MPPT,,,No
r_58_or,Off reason (MPPT),Description why a unit is switched off,r,uint16_t,dimensionless,N/A,N/A,No,MPPT,,,No
r_58_err,Error Code (MPPT),Error Code of the MPPT ,r,uint8_t,dimensionless,N/A,N/A,No,MPPT,,,No
r_58_load,Load State (MPPT),Load output state (ON/OFF),r,string,dimensionless,N/A,N/A,No,MPPT,,,No
r_58_lc,Load Current (MPPT),Load current,r,int16_t,mA,N/A,N/A,No,MPPT,,,No
r_58_y,Yield Total (MPPT),Total power produced (resettable),r,uint16_t,Wh,N/A,N/A,No,MPPT,,,No
r_58_yt,Yield Today (MPPT),Power produced today,r,uint16_t,Wh,N/A,N/A,No,MPPT,,,No
r_58_yy,Yield Yesterday (MPPT),Power produced yesterday,r,uint16_t,Wh,N/A,N/A,No,MPPT,,,No
r_58_pt,Power Today (MPPT),Maximum power today,r,uint16_t,W,N/A,N/A,No,MPPT,,,No
r_58_py,Power Yesterday (MPPT),Maximum power yesterday,r,uint16_t,W,N/A,N/A,No,MPPT,,,No
r_58_dc,Day Sequence Number (MPPT),Historical data. A change in this number indicates a new day. This implies that the historical data has changed,r,uint32_t,dimensionless,N/A,N/A,No,MPPT,,,No
r_59_temp ,Temperature (CC_3001_NVH),Temperature,r,float,celsius,-45,115,No,CC_3001_NVH,,,No
r_59_speed_x,X axis speed (CC_3001_NVH),X axis speed,r,float,mm/s,0,200,No,CC_3001_NVH,,,No
r_59_dist_x,X axis displacement (CC_3001_NVH),X axis displacement ,r,uint16_t,µm,0,2000,No,CC_3001_NVH,,,No
r_59_speed_y,Y axis speed (CC_3001_NVH),Y axis speed,r,float,mm/s,0,200,No,CC_3001_NVH,,,No
r_59_dist_y,Y axis displacement (CC_3001_NVH),Y axis displacement,r,uint16_t,µm,0,2000,No,CC_3001_NVH,,,No
r_59_speed_z,Z axis speed (CC_3001_NVH),Z axis speed,r,float,mm/s,0,200,No,CC_3001_NVH,,,No
r_59_dist_z,Z axis displacement (CC_3001_NVH),Z axis displacement,r,uint16_t,µm,0,2000,No,CC_3001_NVH,,,No
r_62_sol_rad,Solar radiation (SQ522),Solar Radiation,r,float,µmol/m2*s,N/A,N/A,No,SQ522,,,No
r_62_det_mv,Detector millivolts (SQ522),Detector millivolts,r,float,mV,N/A,N/A,No,SQ522,,,No
r_62_imm_rad,Immersed radiation (SQ522),Immersed radiation ,r,float,µmol/m2*s,N/A,N/A,No,SQ522,,,No
r_63_pre,Precipitation (PRONAMIC),"Precipitation readed 0,5 mm per tic",r,float,l/m²,N/A,N/A,No,PRONAMIC,,,No
r_64_temp,Internal temperature (Unilux),Internal Temperature,r,float,celsius,N/A,N/A,No,UNILUX,,,No
r_64_conc,Concentration (Unilux),Concentration,r,float,µg/l,N/A,N/A,No,UNILUX,,,No
r_65_x,X axis tilt angle (CC_DIP_N1),X axis tilt angle,r,float,degrees,-180,180,No,CC_DIP_N1,,,No
r_65_y,Y axis tilt angle (CC_DIP_N1),Y axis tilt angle,r,float,degrees,-90,90,No,CC_DIP_N1,,,No
r_65_z,Z axis tilt angle (CC_DIP_N1),Z axis tilt angle,r,float,degrees,-180,180,No,CC_DIP_N1,,,No
r_65_x_dev,X axis deviation value (CC_DIP_N1),X axis deviation value,r,float,degrees,-180,180,No,CC_DIP_N1,,,No
r_65_y_dev,Y axis deviation value (CC_DIP_N1),Y axis deviation value,r,float,degrees,90,90,No,CC_DIP_N1,,,No
r_65_z_dev,Z axis deviation value (CC_DIP_N1),Z axis deviation value,r,float,degrees,-180,180,No,CC_DIP_N1,,,No
r_66_temp,Temperature (CC_YB100),Sensor output temperature,r,float,celsius,-55,125,No,CC_YB100,,,No
r_66_def,Deformation value (CC_YB100),The physical quantity value,r,float,µStrain,N/A,N/A,No,CC_YB100,,,No
r_66_freq,Frequency (CC_YB100),Sensor output frecuency,r,float,Hz,400,7000,No,CC_YB100,,,No
r_66_res,Resistance (CC_YB100),The resistance value of the vibrating wire sensor is used to determine whether the sensor is working properly,r,float,ohms,N/A,N/A,No,CC_YB100,,,No
r_66_t_cal_a,Temperature calibration factor A (CC_YB100),Temperature calibration factor A,r,float,celsius,N/A,N/A,No,CC_YB100,,,No
r_66_t_cal_b,Temperature calibration factor B (CC_YB100),Temperature calibration factor B,r,float,celsius,N/A,N/A,No,CC_YB100,,,No
r_66_p_coef,Calibration pressure coeficient (CC_YB100),Sensor calibration coefficient used to calculate the corresponding physical quantity of the sensor,r,double,dimensionless,N/A,N/A,No,CC_YB100,,,No
r_66_t_coef,Calibration tensile coeficient (CC_YB100),Sensor calibration coefficient used to calculate the corresponding physical quantity of the sensor,r,double,dimensionless,N/A,N/A,No,CC_YB100,,,No
r_66_t_corr,Temperature correction factor (CC_YB100),Sensor temperature compensation coefficient used to for temperature compensation when the sensor itself calculates physical quantities,r,double,dimensionless,N/A,N/A,No,CC_YB100,,,No
r_66_i_f,Initial frequency (CC_YB100),Initial value of the recorded frequency used to calculate the corresponding physical quantity,r,float,Hz,400,7000,No,CC_YB100,,,No
r_66_i_t,Initial temperature (CC_YB100),Referenced temperature provided by the sensor during temperature calibration,r,float,celsius,N/A,N/A,No,CC_YB100,,,No
r_67_conc,Concentration (CC_W12_2),COD Concentration in water,r,float ,mg/l,0,1500,No,CC_W12_2,,,No
r_67_id,Sensor Id (CC_W12_2),Sensor Identificator,r,uint8_t,dimensionless,N/A,N/A,No,CC_W12_2,,,No
r_67_sf,Scale Factor (CC_W12_2),Scale Factor,r,uint16_t,dimensionless,N/A,N/A,No,CC_W12_2,,,No
r_67_inc,Increment (CC_W12_2),Increment,r,uint16_t,dimensionless,N/A,N/A,No,CC_W12_2,,,No
